generation      indiv.tag       Mutcount        fitness s       h       counts_copies   freq
100000	3038	3	0.749151	-0.118093	0.0343422	1	9.95818e-05
100000	3038	3	0.749151	-0.588955	0.14742	1	0.000298745
100000	3038	3	0.749151	-0.744742	0.236699	1	9.95818e-05
100000	281	2	0.833007	-0.0945206	0.069253	1	0.00129456
100000	281	2	0.833007	-0.895368	0.180378	1	9.95818e-05
100000	2672	2	0.862008	-0.625688	0.218249	1	9.95818e-05
100000	2672	2	0.862008	-0.0237307	0.0701019	1	0.00338578
100000	2922	2	0.803566	-0.106517	0.0888101	1	9.95818e-05
100000	2922	2	0.803566	-0.792292	0.238245	1	9.95818e-05
100000	973	6	0.788722	-0.0380204	0.165595	1	0.000896236
100000	973	6	0.788722	-0.179853	0.17065	1	0.000597491
100000	973	6	0.788722	-0.0762451	0.164586	1	0.00209122
100000	973	6	0.788722	-0.759979	0.156624	1	0.000697072
100000	973	6	0.788722	-0.522246	0.0886047	1	0.00189205
100000	973	6	0.788722	-0.679736	0.0191659	1	0.000199164
100000	694	4	0.79113	-0.179853	0.17065	1	0.000597491
100000	694	4	0.79113	-0.0762451	0.164586	1	0.00209122
100000	694	4	0.79113	-0.844828	0.205076	1	9.95818e-05
100000	694	4	0.79113	-0.0231331	0.0101404	1	0.00368452
100000	2509	2	0.862137	-0.021437	0.233706	1	0.000199164
100000	2509	2	0.862137	-0.824018	0.162038	1	0.000199164
100000	1953	2	0.971624	-0.00714215	0.058585	1	0.00149373
100000	1953	2	0.971624	-0.157258	0.177856	1	9.95818e-05
100000	3143	1	0.954106	-0.283729	0.161752	1	0.000298745
100000	2113	3	0.894052	-0.122202	0.013855	1	0.00209122
100000	2113	3	0.894052	-0.150586	0.196462	1	0.000497909
100000	2113	3	0.894052	-0.661513	0.116595	1	0.000697072
100000	322	1	0.971284	-0.136359	0.210594	1	0.000398327
100000	2474	1	0.98884	-0.107701	0.103618	1	9.95818e-05
100000	1413	1	0.972951	-0.278885	0.0969893	1	0.000199164
100000	517	3	0.879188	-0.0824968	0.0133339	1	0.000796654
100000	517	3	0.879188	-0.502342	0.213701	1	0.000597491
100000	517	3	0.879188	-0.640572	0.0218473	1	0.000597491
100000	1839	1	0.992497	-0.128525	0.0583782	1	0.00348536
100000	1515	2	0.992427	-0.128525	0.0583782	1	0.00348536
100000	1515	2	0.992427	-0.0108472	0.00653474	1	0.00975901
100000	956	1	0.935524	-0.531194	0.121379	1	9.95818e-05
100000	2494	2	0.89855	-0.3688	0.213934	1	9.95818e-05
100000	2494	2	0.89855	-0.167192	0.146436	1	0.000597491
100000	1586	1	0.985251	-0.163191	0.0903764	1	0.000398327
100000	884	3	0.975671	-0.0122642	0.0116721	1	0.00527783
100000	884	3	0.975671	-0.39571	0.0529834	1	9.95818e-05
100000	884	3	0.975671	-0.15624	0.0210726	1	0.00119498
100000	3267	1	0.980887	-0.179481	0.10649	1	9.95818e-05
100000	1360	2	0.979859	-0.185304	0.0273399	1	0.00159331
100000	1360	2	0.979859	-0.973233	0.0155683	1	0.000597491
100000	1318	1	0.994201	-0.0278841	0.207968	1	0.00129456
100000	1330	1	0.937233	-0.534282	0.11748	1	0.000697072
100000	3068	2	0.891742	-0.265878	0.240533	1	9.95818e-05
100000	3068	2	0.891742	-0.19637	0.241038	1	0.000199164
100000	38	1	0.986005	-0.640572	0.0218473	1	0.000597491
100000	1622	2	0.987976	-0.0122642	0.0116721	1	0.00527783
100000	1622	2	0.987976	-0.125384	0.0947698	1	0.000298745
100000	885	1	0.999951	-0.0860253	0.000574416	1	0.000497909
100000	1581	1	0.99238	-0.117438	0.064884	1	9.95818e-05
100000	2089	1	0.996517	-0.396744	0.00877849	1	9.95818e-05
100000	2382	1	0.999248	-0.0990141	0.00759462	1	0.000697072
100000	1608	2	0.891973	-0.437651	0.225152	1	0.000497909
100000	1608	2	0.891973	-0.202056	0.0520935	1	0.000398327
100000	1900	1	0.989348	-0.542389	0.0196398	1	0.00129456
100000	357	2	0.936514	-0.973233	0.0155683	1	0.000597491
100000	357	2	0.936514	-0.545609	0.0899517	1	0.000398327
100000	1816	2	0.746085	-0.882053	0.022969	1	0.000298745
100000	1816	2	0.746085	-0.970537	0.245727	1	9.95818e-05
100000	3070	1	0.998336	-0.0237307	0.0701019	1	0.00338578
100000	1530	3	0.822651	-0.0108472	0.00653474	1	0.00975901
100000	1530	3	0.822651	-0.89348	0.179682	1	0.000298745
100000	1530	3	0.822651	-0.30269	0.0659152	1	0.000995818
100000	1442	1	0.844904	-0.888886	0.174483	1	0.000298745
100000	114	2	0.899309	-0.0166545	0.0114124	1	0.000497909
100000	114	2	0.899309	-0.860465	0.11682	1	0.000597491
100000	775	1	0.981958	-0.213716	0.0844207	1	0.000497909
100000	1260	1	0.990705	-0.137264	0.067719	1	0.00229038
100000	1623	2	0.965757	-0.169672	0.0592382	1	0.000199164
100000	1623	2	0.965757	-0.171866	0.142192	1	0.000697072
100000	2000	1	0.987451	-0.0762451	0.164586	1	0.00209122
100000	1651	2	0.983493	-0.0905282	0.0490626	1	9.95818e-05
100000	1651	2	0.983493	-0.185435	0.0653551	1	9.95818e-05
100000	362	1	0.999741	-0.0232745	0.0111408	1	0.00318662
100000	659	2	0.946179	-0.522246	0.0886047	1	0.00189205
100000	659	2	0.946179	-0.810688	0.00976186	1	0.000697072
100000	991	3	0.96887	-0.0108472	0.00653474	1	0.00975901
100000	991	3	0.96887	-0.561236	0.0162885	1	0.000796654
100000	991	3	0.96887	-0.149504	0.147967	1	0.00149373
100000	836	4	0.822054	-0.75736	0.135434	1	9.95818e-05
100000	836	4	0.822054	-0.525483	0.113557	1	0.000199164
100000	836	4	0.822054	-0.0108472	0.00653474	1	0.00975901
100000	836	4	0.822054	-0.429359	0.0600678	1	0.000298745
100000	3120	3	0.933142	-0.489583	0.0352294	1	0.000199164
100000	3120	3	0.933142	-0.192538	0.246325	1	0.000199164
100000	3120	3	0.933142	-0.0758839	0.0422522	1	9.95818e-05
100000	203	3	0.956711	-0.0180497	0.105435	1	0.00119498
100000	203	3	0.956711	-0.111495	0.023571	1	0.000796654
100000	203	3	0.956711	-0.259025	0.150331	1	0.000497909
100000	2792	1	0.900761	-0.884965	0.112139	1	0.000398327
100000	1596	1	0.965631	-0.262817	0.130773	1	0.000796654
100000	1561	1	0.911014	-0.542254	0.164104	1	0.000497909
100000	729	1	0.993082	-0.141033	0.0490519	1	0.000199164
100000	1326	3	0.975463	-0.00714215	0.058585	1	0.00149373
100000	1326	3	0.975463	-0.304275	0.0570702	1	0.000298745
100000	1326	3	0.975463	-0.995366	0.00691539	1	0.000497909
100000	968	4	0.947121	-0.0491261	0.0513238	1	0.000597491
100000	968	4	0.947121	-0.828754	0.00922195	1	0.000796654
100000	968	4	0.947121	-0.0954334	0.182189	1	9.95818e-05
100000	968	4	0.947121	-0.36377	0.0721385	1	0.000398327
100000	1003	1	0.895856	-0.609835	0.170775	1	9.95818e-05
100000	289	1	0.999378	-0.104337	0.00596094	1	0.0010954
100000	2272	1	0.938875	-0.455395	0.134224	1	0.00139414
100000	1565	1	0.974906	-0.304686	0.0823614	1	9.95818e-05
100000	1531	1	0.971049	-0.435757	0.0664384	1	0.000497909
100000	1214	3	0.938272	-0.0308109	0.166758	1	0.000398327
100000	1214	3	0.938272	-0.0920177	0.0891896	1	0.000199164
