generation	indiv.index	Mutcount	fitness	zogosity	s	h
100000	1777	5	0.987834	het	-0.00296958	0.0443619
100000	1791	9	0.808175	het	-0.000467448	0.139968
100000	1791	9	0.808175	het	-0.271955	0.089785
100000	1791	9	0.808175	het	-0.00804627	0.219266
100000	1791	9	0.808175	het	-0.599148	0.0848578
100000	1791	9	0.808175	het	-0.00296958	0.0443619
100000	1791	9	0.808175	het	-0.0668526	0.235596
100000	1791	9	0.808175	het	-0.607898	0.12095
100000	1791	9	0.808175	het	-0.130359	0.311889
100000	2841	5	0.983999	het	-0.000467448	0.139968
100000	2841	5	0.983999	het	-0.00435414	0.345412
100000	2841	5	0.983999	het	-0.109142	0.111816
100000	2538	8	0.942197	het	-0.00196631	0.0853275
100000	2538	8	0.942197	het	-0.0159839	0.08186
100000	2538	8	0.942197	het	-0.973186	0.045031
100000	2538	8	0.942197	het	-0.0754853	0.00102414
100000	2538	8	0.942197	het	-0.0068731	0.0937361
100000	2538	8	0.942197	het	-0.319283	0.0286648
100000	978	5	0.993701	het	-0.0749605	0.0131244
100000	978	5	0.993701	het	-0.0681129	0.060824
100000	978	5	0.993701	het	-0.00634122	0.107808
100000	978	5	0.993701	het	-0.0019182	0.0721201
100000	2126	6	0.962181	het	-0.00568657	0.270534
100000	2126	6	0.962181	het	-0.000467448	0.139968
100000	2126	6	0.962181	het	-0.0865332	0.39757
100000	2126	6	0.962181	het	-0.00334505	0.0565827
100000	2126	6	0.962181	het	-0.0139971	0.099128
100000	2263	3	0.609938	het	-0.462085	0.371984
100000	2263	3	0.609938	het	-0.939135	0.280252
100000	183	3	0.965112	het	-0.0671627	0.410761
100000	183	3	0.965112	het	-0.0191095	0.374137
100000	1045	5	0.809933	het	-0.343982	0.499976
100000	1045	5	0.809933	het	-0.000467448	0.139968
100000	1045	5	0.809933	het	-0.056932	0.18714
100000	1045	5	0.809933	het	-0.255877	0.0425407
100000	104	3	0.966736	het	-0.411658	0.00789017
100000	104	3	0.966736	het	-0.241697	0.123144
100000	1899	8	0.610498	het	-0.000467448	0.139968
100000	1899	8	0.610498	het	-0.277764	0.0137324
100000	1899	8	0.610498	het	-0.70616	0.387939
100000	1899	8	0.610498	het	-0.314029	0.290755
100000	1899	8	0.610498	het	-0.293581	0.178441
100000	1899	8	0.610498	het	-0.0416828	0.449186
100000	1899	8	0.610498	het	-0.0068731	0.0937361
100000	2484	9	0.854583	het	-0.292602	0.0119169
100000	2484	9	0.854583	het	-0.954154	0.0285697
100000	2484	9	0.854583	het	-0.97187	0.0232173
100000	2484	9	0.854583	het	-0.00981975	0.410026
100000	2484	9	0.854583	het	-0.000686853	0.185255
100000	2484	9	0.854583	het	-0.197265	0.474569
100000	2484	9	0.854583	het	-0.0019182	0.0721201
100000	2484	9	0.854583	het	-0.0990154	0.00236927
100000	3563	5	0.981061	het	-0.468187	0.00343609
100000	3563	5	0.981061	het	-0.0721641	0.0427285
100000	3563	5	0.981061	het	-0.056932	0.18714
100000	148	7	0.959995	het	-0.00568657	0.270534
100000	148	7	0.959995	het	-0.0707606	0.172673
100000	148	7	0.959995	het	-0.000686853	0.185255
100000	148	7	0.959995	het	-0.166306	0.135141
100000	148	7	0.959995	het	-0.110183	0.032941
100000	148	7	0.959995	het	-0.0019182	0.0721201
100000	1686	7	0.949738	het	-0.011297	0.152787
100000	1686	7	0.949738	het	-0.595519	0.041388
100000	1686	7	0.949738	het	-0.31272	0.0406797
100000	1686	7	0.949738	het	-0.255877	0.0425407
100000	1686	7	0.949738	het	-0.00296958	0.0443619
100000	1686	7	0.949738	het	-0.0068731	0.0937361
100000	2464	7	0.66332	het	-0.386429	0.00922357
100000	2464	7	0.66332	het	-0.277764	0.0137324
100000	2464	7	0.66332	het	-0.83806	0.0253112
100000	2464	7	0.66332	het	-0.713437	0.0202434
100000	2464	7	0.66332	het	-0.874681	0.341417
100000	2464	7	0.66332	het	-0.0298471	0.400852
100000	2295	8	0.962754	het	-0.0757877	0.0484461
100000	2295	8	0.962754	het	-0.171047	0.0045025
100000	2295	8	0.962754	het	-0.00616299	0.0813644
100000	2295	8	0.962754	het	-0.192897	0.147677
100000	2295	8	0.962754	het	-0.000686853	0.185255
100000	2295	8	0.962754	het	-0.0068731	0.0937361
100000	339	4	0.979051	het	-0.0988348	0.0414958
100000	339	4	0.979051	het	-0.0608342	0.259345
100000	339	4	0.979051	het	-0.00304692	0.261944
100000	909	5	0.996007	het	-0.000467448	0.139968
100000	909	5	0.996007	het	-0.411658	0.00789017
100000	909	5	0.996007	het	-0.00334505	0.0565827
100000	909	5	0.996007	het	-0.00296958	0.0443619
100000	182	2	0.998628	het	-0.0334948	0.0301885
100000	3505	3	0.977977	het	-0.83806	0.0253112
